,Lokacja,Cena,Cena za m2,M2,Pokoje,Pietro,Currency,Miasto,Dzielnica,Wspolrzedne,Szerokosc,Dlugosc
14,"Gdańsk Aniołki, Zwycięstwa",419000,11026,38.0,2,2,PLN,Gdańsk,Aniołki,"Aleja Zwycięstwa, Brama Oliwska, Aniołki, Gdańsk, województwo pomorskie, 80-201, Polska",54.3621096,18.6411789
15,"Gdańsk Przeróbka, Przetoczna",529000,9796,54.0,2,2,PLN,Gdańsk,Przeróbka,"Przetoczna, Przeróbka, Gdańsk, województwo pomorskie, 80-703, Polska",54.3565735,18.6808218
16,"Gdańsk Orunia Górna, Dywizji Wołyńskiej",660000,9909,66.6,3,0,PLN,Gdańsk,Orunia Górna,"Dywizji Wołyńskiej, Orunia Górna, Orunia Górna - Gdańsk Południe, Gdańsk, województwo pomorskie, 80-041, Polska",54.3226628,18.6153666
17,Gdańsk Kiełpinek,641000,10015,64.0,3,0,PLN,Gdańsk,Kiełpinek,"Gdańsk Kiełpinek, Szczęśliwa, Kiełpinek, Jasień, Gdańsk, województwo pomorskie, 80-190, Polska",54.3553796,18.5284794
18,"Gdańsk Wrzeszcz, Jesionowa",550000,11770,46.73,2,6,PLN,Gdańsk,Wrzeszcz,"Jesionowa, Strzyża Dolna, Wrzeszcz Górny, Gdańsk, województwo pomorskie, 80-261, Polska",54.3805962,18.5997693
19,"Gdańsk Letnica, Sucha",570000,15405,37.0,2,3,PLN,Gdańsk,Letnica,"Sucha, Oliwskie Łąki, Letnica, Gdańsk, województwo pomorskie, 80-534, Polska",54.3904967,18.6474929
20,"Gdańsk Morena, Myśliwska",599000,11259,53.2,3,5,PLN,Gdańsk,Morena,,,
21,"Gdańsk Przymorze, Aleja Rzeczypospolitej",397166,11999,33.1,2,10,PLN,Gdańsk,Przymorze,"Aleja Rzeczypospolitej, Przymorze Wielkie, Gdańsk, województwo pomorskie, 80-362, Polska",54.4034704,18.5910556
22,"Gdańsk Śródmieście, Mariacka",990000,25352,39.05,2,1,PLN,Gdańsk,Śródmieście,"Mariacka, Główne Miasto, Śródmieście, Gdańsk, województwo pomorskie, 80-833, Polska",54.3495984,18.6554772
23,"Gdańsk Przymorze, Olsztyńska",1090000,16292,66.9,3,9,PLN,Gdańsk,Przymorze,"Olsztyńska, Biały Dwór, Przymorze Wielkie, Gdańsk, województwo pomorskie, 80-395, Polska",54.4059819,18.6039015
24,"Sopot Kamienny Potok, Henryka Sienkiewicza",659000,14842,44.4,3,7,PLN,Sopot,Kamienny Potok,"Henryka Sienkiewicza, Kamienny Potok, Sopot, województwo pomorskie, 81-815, Polska",54.4532852,18.5492937
25,Gdańsk Jasień,614000,9654,63.6,3,3,PLN,Gdańsk,Jasień,"Gdańsk Jasień, Generała Władysława Andersa, Jasień, Gdańsk, województwo pomorskie, 80-283, Polska",54.3536518,18.5500839
26,"Gdańsk Wrzeszcz, Partyzantów",669000,11743,56.97,3,1,PLN,Gdańsk,Wrzeszcz,"Partyzantów, Wrzeszcz Górny, Gdańsk, województwo pomorskie, 80-249, Polska",54.3766522,18.6075306
27,"Gdańsk Aniołki, Zwycięstwa",389000,10805,36.0,1,2,PLN,Gdańsk,Aniołki,"Aleja Zwycięstwa, Brama Oliwska, Aniołki, Gdańsk, województwo pomorskie, 80-201, Polska",54.3621096,18.6411789
28,"Gdańsk Wrzeszcz, Jaśkowa Dolina 73C",1421000,20300,70.0,3,4,PLN,Gdańsk,Wrzeszcz,"73C, Jaśkowa Dolina, Wrzeszcz Górny, Gdańsk, województwo pomorskie, 80-286, Polska",54.368439699999996,18.593441791392408
29,"Gdynia Pogórze, Wiceadmirała Kazimierza Porębskiego 2",449000,7360,61.0,3,1,PLN,Gdynia,Pogórze,"2, Wiceadmirała Kazimierza Porębskiego, Pogórze Górne, Pogórze, Gdynia, województwo pomorskie, 81-185, Polska",54.5623194,18.4887953
30,"Gdańsk Wrzeszcz, Bolesława Chrobrego",899000,17801,50.5,2,1,PLN,Gdańsk,Wrzeszcz,"Bolesława Chrobrego, Kolonia Uroda, Wrzeszcz Dolny, Gdańsk, województwo pomorskie, 80-414, Polska",54.3965758,18.6178476
31,Gdańsk Wrzeszcz,399999,11764,34.0,2,1,PLN,Gdańsk,Wrzeszcz,"Gdańsk Wrzeszcz, Romana Dmowskiego, Strzyża Dolna, Wrzeszcz Górny, Gdańsk, województwo pomorskie, 80-243, Polska",54.3817696,18.6055111
32,"Gdańsk Śródmieście, Rajska",695000,12410,56.0,2,1,PLN,Gdańsk,Śródmieście,"Rajska, Stare Miasto, Śródmieście, Gdańsk, województwo pomorskie, 80-850, Polska",54.3556503,18.6489283
33,"Gdynia Śródmieście, Zgoda",669000,13661,48.97,2,5,PLN,Gdynia,Śródmieście,"Zgoda, Śródmieście, Gdynia, województwo pomorskie, 81-361, Polska",54.5204317,18.5365345
34,"Gdańsk, Niepołomnicka",689000,10936,63.0,3,0,PLN,Gdańsk,,,,
35,"Gdańsk Śródmieście, Ogarna",550000,21895,25.12,1,2,PLN,Gdańsk,Śródmieście,"Ogarna, Główne Miasto, Śródmieście, Gdańsk, województwo pomorskie, 80-818, Polska",54.3487517,18.6471706
36,"Gdańsk Jasień, Aleksandry Gabrysiak",450000,10089,44.6,2,2,PLN,Gdańsk,Jasień,"Aleksandry Gabrysiak, Osiedle Kryształowe, Jasień, Gdańsk, województwo pomorskie, 80-175, Polska",54.3358541,18.5570297
37,"Gdynia Oksywie, Dąbka",449000,9760,46.0,3,4,PLN,Gdynia,Oksywie,"Port Wojenny Gdynia, Pułkownika Stanisława Dąbka, Kępa Oksywska, Oksywie, Gdynia, województwo pomorskie, 81-124, Polska",54.5423643,18.550196051452584
38,"Gdańsk Jasień, Przytulna",485000,9877,49.1,2,3,PLN,Gdańsk,Jasień,"Przytulna, Wiszące Ogrody, Jasień, Gdańsk, województwo pomorskie, 80-177, Polska",54.350638,18.5331999
39,"Gdańsk Wrzeszcz, Migowska",1399000,15961,87.65,4,0,PLN,Gdańsk,Wrzeszcz,"Migowska, Studzienka, Wrzeszcz Górny, Gdańsk, województwo pomorskie, 80-215, Polska",54.3663969,18.5989065
