,Lokacja,Cena,Cena za m2,M2,Pokoje,Pietro,Currency,Miasto,Dzielnica,Wspolrzedne,Szerokosc,Dlugosc
886,"Gdańsk Łostowice, Wielkopolska",299000,10872,27.5,2,0,PLN,Gdańsk,Łostowice,"Wielkopolska, Łostowice, Ujeścisko - Łostowice, Gdańsk, województwo pomorskie, 80-480, Polska",54.3152398,18.5911515
887,"Sopot Wyścigi / Karlikowo, Karlikowska",925000,16975,54.49,3,0,PLN,Sopot,Wyścigi / Karlikowo,,,
888,"Sopot Wyścigi / Karlikowo, 3 Maja",1199000,15571,77.0,3,2,PLN,Sopot,Wyścigi / Karlikowo,,,
889,"Gdańsk Maćkowy, Kazimierza Wielkiego",550000,9821,56.0,5,2,PLN,Gdańsk,Maćkowy,"Kazimierza Wielkiego, Maćkowy, Orunia Górna - Gdańsk Południe, Gdańsk, województwo pomorskie, 80-031, Polska",54.2978761,18.6079423
890,Sopot,2100000,13815,152.0,1,3,PLN,Sopot,,"Sopot, województwo pomorskie, Polska",54.4430399,18.561309520130756
891,"Gdańsk Młode Miasto, Wałowa",595000,19833,30.0,4,1,PLN,Gdańsk,Młode miasto,"Wałowa, Osiek, Śródmieście, Gdańsk, województwo pomorskie, 80-860, Polska",54.3588463,18.6536521
892,"Gdańsk Wrzeszcz, Karola Szymanowskiego",1190000,20081,59.26,3,1,PLN,Gdańsk,Wrzeszcz,"Karola Szymanowskiego, Strzyża Górna, Strzyża, Gdańsk, województwo pomorskie, 80-280, Polska",54.3844677,18.5893686
893,"Gdańsk Morena, Czecha",579000,9538,60.7,2,2,PLN,Gdańsk,Morena,,,
894,"Gdańsk Oliwa, Opcka",1199999,24489,49.0,4,3,PLN,Gdańsk,Oliwa,,,
895,"Gdańsk Ujeścisko, Płocka",580000,9109,63.67,5,0,PLN,Gdańsk,Ujeścisko,"Płocka, Ujeścisko, Ujeścisko - Łostowice, Gdańsk, województwo pomorskie, 80-034, Polska",54.328373,18.5982754
896,"Gdańsk Osowa, Chirona",1095000,10950,100.0,3,0,PLN,Gdańsk,Osowa,"Chirona, Osowa, Gdańsk, województwo pomorskie, 80-299, Polska",54.4257758,18.4641138
897,"Gdańsk Jasień, Lawendowe Wzgórze 38",680000,11929,57.0,3,2,PLN,Gdańsk,Jasień,"38, Lawendowe Wzgórze, Szadółki, Jasień, Gdańsk, województwo pomorskie, 80-175, Polska",54.32780015,18.56146115075707
898,"Gdańsk Osowa, Homera",610000,9923,61.47,3,4,PLN,Gdańsk,Osowa,"Homera, Owczarnia, Osowa, Gdańsk, województwo pomorskie, 81-598, Polska",54.4187891,18.4844695
899,"Gdańsk Wrzeszcz, Joachima Lelewela",1332000,18500,72.0,4,0,PLN,Gdańsk,Wrzeszcz,"Joachima Lelewela, Brunów, Wrzeszcz Dolny, Gdańsk, województwo pomorskie, 80-442, Polska",54.3833813,18.6127526
900,"Gdańsk Letnica, Starowiejska",920000,11219,82.0,3,2,PLN,Gdańsk,Letnica,"Starowiejska, Kolonia Gwiazda Morza, Letnica, Gdańsk, województwo pomorskie, 80-536, Polska",54.3981198,18.6476667
901,"Gdańsk Siedlce, Kolonia Zręby",509000,8399,60.6,4,4,PLN,Gdańsk,Siedlce,"Kolonia Zręby, Siedlce, Gdańsk, województwo pomorskie, 80-133, Polska",54.3516667,18.6030556
902,"Gdańsk Długie Ogrody, Szafarnia",2500000,20833,120.0,2,1,PLN,Gdańsk,Długie ogrody,"Szafarnia, Wyspa Spichrzów, Śródmieście, Gdańsk, województwo pomorskie, 80-755, Polska",54.3494168,18.6602316
903,"Gdańsk Orunia, Rubinowa",349000,8310,42.0,4,3,PLN,Gdańsk,Orunia,"Rubinowa, Ptaszniki, Orunia - Święty Wojciech - Lipce, Gdańsk, województwo pomorskie, 80-033, Polska",54.3258976,18.6307755
904,"Gdańsk Niedźwiednik, Góralska",899000,10701,84.01,1,2,PLN,Gdańsk,Niedźwiednik,"Góralska, Niedźwiednik, Brętowo, Gdańsk, województwo pomorskie, 80-292, Polska",54.3743393,18.5663963
905,"Gdańsk Brzeźno, Dworska",375000,14368,26.1,1,3,PLN,Gdańsk,Brzeźno,"Dworska, Brzeźno, Gdańsk, województwo pomorskie, 80-506, Polska",54.4032149,18.6271865
906,"Gdansk Żabianka, Pomorska 18",480000,15483,31.0,3,1,PLN,,Żabianka,"18C, Pomorska, Żabianka, Żabianka-Wejhera-Jelitkowo-Tysiąclecia, Gdańsk, województwo pomorskie, 80-333, Polska",54.41929295,18.57760934308673
907,"Gdańsk Brzeźno, Ksawerego Dunikowskiego",647000,14874,43.5,3,2,PLN,Gdańsk,Brzeźno,"Ksawerego Dunikowskiego, Brzeźno, Gdańsk, województwo pomorskie, 80-515, Polska",54.404967,18.6431622
908,"Gdynia Działki Leśne, Kwidzyńska",895000,16886,53.0,3,0,PLN,Gdynia,Działki Leśne,"Kwidzyńska, Działki Leśne, Gdynia, województwo pomorskie, 81-322, Polska",54.5118581,18.5252387
909,"Gdynia Wiczlino, Stanisława Filipkowskiego",739000,10408,71.0,2,5,PLN,Gdynia,Wiczlino,"Stanisława Filipkowskiego, Wiczlino - Ogród, Chwarzno-Wiczlino, Gdynia, województwo pomorskie, 81-577, Polska",54.4866168,18.4280547
910,"Gdańsk Żabianka, Gospody",519000,16742,31.0,3,1,PLN,Gdańsk,Żabianka,"Gospody, Żabianka, Żabianka-Wejhera-Jelitkowo-Tysiąclecia, Gdańsk, województwo pomorskie, 80-340, Polska",54.4245047,18.5775911
911,"Gdańsk Śródmieście, Grodzka",679000,10681,63.57,3,0,PLN,Gdańsk,Śródmieście,"Grodzka, Zamczysko, Śródmieście, Gdańsk, województwo pomorskie, 80-841, Polska",54.3539829,18.6591093
912,"Gdańsk Dolne Miasto, Śluza",729000,14533,50.16,3,8,PLN,Gdańsk,Dolne miasto,"Śluza, Dolne Miasto, Śródmieście, Gdańsk, województwo pomorskie, 80-770, Polska",54.3412841,18.6579963
913,"Gdynia Chylonia, Chylońska",389000,6946,56.0,2,1,PLN,Gdynia,Chylonia,"Chylońska, Osiedle Meksyk, Chylonia, Gdynia, województwo pomorskie, 81-034, Polska",54.5448438,18.4619638
914,"Gdańsk Wrzeszcz, Sochaczewska",599000,12690,47.2,2,1,PLN,Gdańsk,Wrzeszcz,"Sochaczewska, Nowe Szkoty, Wrzeszcz Dolny, Gdańsk, województwo pomorskie, 80-407, Polska",54.383418,18.6241828
915,"Gdańsk Morena, Krzysztofa Kolumba",520000,10569,49.2,3,1,PLN,Gdańsk,Morena,,,
916,"Gdańsk Brzeźno, Dunikowskiego 1",647000,14873,43.5,2,5,PLN,Gdańsk,Brzeźno,"1D, Ksawerego Dunikowskiego, Brzeźno, Gdańsk, województwo pomorskie, 80-524, Polska",54.40368675,18.64278115
917,"Gdańsk Żabianka, Gospody 8",519000,16741,31.0,3,4,PLN,Gdańsk,Żabianka,"8, Gospody, Wejhera, Żabianka-Wejhera-Jelitkowo-Tysiąclecia, Gdańsk, województwo pomorskie, 80-344, Polska",54.42159275,18.580194822369624
918,"Gdańsk Morena, Burgaska",519000,8466,61.3,3,0,PLN,Gdańsk,Morena,,,
919,Gdynia Grabówek,589000,9462,62.25,4,1,PLN,Gdynia,Grabówek,"Grabówek, Gdynia, województwo pomorskie, Polska",54.5227425,18.504445236882688
920,"Gdynia Oksywie, Bosmańska",1122000,11642,96.37,2,0,PLN,Gdynia,Oksywie,"Bosmańska, Oksywie, Gdynia, województwo pomorskie, 81-114, Polska",54.5488509,18.5302022
921,"Gdynia Mały Kack, Strzelców",679000,13857,49.0,3,2,PLN,Gdynia,Mały Kack,"Strzelców, Kolonia Wielki Kack, Mały Kack, Gdynia, województwo pomorskie, 81-586, Polska",54.4736509,18.5070401
922,"Gdańsk Przeróbka, Bajki",585000,10335,56.6,3,3,PLN,Gdańsk,Przeróbka,"Bajki, Przeróbka, Gdańsk, województwo pomorskie, 80-706, Polska",54.3563053,18.6825147
923,"Gdańsk Letnica, Sucha",840000,13953,60.2,2,1,PLN,Gdańsk,Letnica,"Sucha, Oliwskie Łąki, Letnica, Gdańsk, województwo pomorskie, 80-534, Polska",54.3904967,18.6474929
924,"Gdańsk Gdańsk Południe, Hilarego Koprowskiego",395000,9093,43.44,2,2,PLN,Gdańsk,,"Hilarego Koprowskiego, Osiedle Olimp (Kowale), Orunia Górna - Gdańsk Południe, Gdańsk, Kowale, gmina Kolbudy, powiat gdański, województwo pomorskie, 80-180, Polska",54.3116877,18.5725832
925,"Gdańsk Matarnia - Rębiechowo, Mjr. Mieczysława Słabego",599000,12621,47.46,2,5,PLN,Gdańsk,,,,
926,"Gdańsk Morena, Magellana",686000,14000,49.0,2,3,PLN,Gdańsk,Morena,,,
927,"Gdańsk Ujeścisko , Niepołomicka",499000,11264,44.3,4,3,PLN,Gdańsk,Ujeścisko,"Niepołomicka, Łostowice, Ujeścisko - Łostowice, Gdańsk, województwo pomorskie, 80-480, Polska",54.3143954,18.5946641
928,"Gdańsk Ujeścisko, Konstantego Bergiela",579000,7329,79.0,2,8,PLN,Gdańsk,Ujeścisko,"Konstantego Bergiela, Zakoniczyn, Ujeścisko - Łostowice, Gdańsk, województwo pomorskie, 80-180, Polska",54.3176542,18.5823644
929,"Gdynia Śródmieście, Węglowa",1299000,25204,51.54,2,0,PLN,Gdynia,Śródmieście,"Węglowa, Śródmieście, Gdynia, województwo pomorskie, 81-347, Polska",54.5268087,18.5440399
930,"Gdańsk Chełm, Władysława Cieszyńskiego",599000,11812,50.71,2,0,PLN,Gdańsk,Chełm,"Władysława Cieszyńskiego, Chełm G, Chełm, Gdańsk, województwo pomorskie, 80-809, Polska",54.3380865,18.6109315
931,"Gdańsk Orunia, Brzegi",349000,8231,42.4,3,3,PLN,Gdańsk,Orunia,"Brzegi, Stare Szkoty, Orunia - Święty Wojciech - Lipce, Gdańsk, województwo pomorskie, 80-045, Polska",54.3358857,18.6358047
932,"Gdańsk Orunia, Diamentowa",460000,10222,45.0,3,2,PLN,Gdańsk,Orunia,"Diamentowa, Ptaszniki, Orunia - Święty Wojciech - Lipce, Gdańsk, województwo pomorskie, 80-028, Polska",54.3268235,18.630472
933,"Gdynia Wielki Kack, Lesoka",850000,12318,69.0,2,1,PLN,Gdynia,Wielki Kack,"Lesoka, Wielki Kack, Gdynia, województwo pomorskie, 81-575, Polska",54.4636595,18.4946838
934,"Gdynia Wzgórze św. Maksymiliana, Świętojańska",799000,16576,48.2,3,1,PLN,Gdynia,,"Świętojańska, Wzgórze Świętego Maksymiliana, Gdynia, województwo pomorskie, 81-388, Polska",54.5086508,18.5379129
935,"Gdańsk Ujeścisko, Wielkopolska",685000,10316,66.4,4,4,PLN,Gdańsk,Ujeścisko,"Wielkopolska, Łostowice, Ujeścisko - Łostowice, Gdańsk, województwo pomorskie, 80-480, Polska",54.3152398,18.5911515
936,"Gdańsk Długie Ogrody, Sienna Grobla",1868640,23917,78.13,3,4,PLN,Gdańsk,Długie ogrody,"GDAŃSK, Bursztynowa Promenada Gwiazd, Ołowianka, Śródmieście, Gdańsk, województwo pomorskie, 80-751, Polska",54.3529391,18.6599081
937,"Gdańsk Długie Ogrody, Sienna Grobla",3302160,23906,138.13,3,2,PLN,Gdańsk,Długie ogrody,"GDAŃSK, Bursztynowa Promenada Gwiazd, Ołowianka, Śródmieście, Gdańsk, województwo pomorskie, 80-751, Polska",54.3529391,18.6599081
938,"Gdańsk Zakoniczyn, Konrada Guderskiego 34",575000,9982,57.6,2,0,PLN,Gdańsk,Zakoniczyn,"Konrada Guderskiego, Zakoniczyn, Ujeścisko - Łostowice, Gdańsk, województwo pomorskie, 80-180, Polska",54.318336,18.5676373
939,"Gdynia Kamienna Góra, Józefa Bema",515000,13552,38.0,3,7,PLN,Gdynia,Kamienna Góra,"Generała Józefa Bema, Kamienna Góra, Gdynia, województwo pomorskie, 81-382, Polska",54.5098764,18.5414597
940,"Gdańsk Zaspa, Ciołkowskiego",629000,13104,48.0,2,0,PLN,Gdańsk,Zaspa,"Konstantego Ciołkowskiego, Zaspa-Rozstaje, Gdańsk, województwo pomorskie, 80-414, Polska",54.3917601,18.6148445
941,"Gdańsk Nowy Port, Marynarki Polskiej",415000,12576,33.0,2,1,PLN,Gdańsk,Nowy Port,"Marynarki Polskiej, Nowy Port, Gdańsk, województwo pomorskie, 80-535, Polska",54.3988974,18.6671494
942,"Gdańsk letnica, Letnicka",510000,12980,39.29,2,2,PLN,Gdańsk,Letnica,"Letnicka, Kolonia Gwiazda Morza, Letnica, Gdańsk, województwo pomorskie, 80-536, Polska",54.3986679,18.646464
943,"Gdańsk Jasień, Aleksandry Gabrysiak",450000,10090,44.6,3,1,PLN,Gdańsk,Jasień,"Aleksandry Gabrysiak, Osiedle Kryształowe, Jasień, Gdańsk, województwo pomorskie, 80-175, Polska",54.3358541,18.5570297
944,"Gdańsk Wrzeszcz, Hallera",1521000,18988,80.1,3,1,PLN,Gdańsk,Wrzeszcz,"Zajezdnia autobusowa Hallera, Wrzeszcz Dolny, Gdańsk, województwo pomorskie, 80-416, Polska",54.396776700000004,18.62000540942623
945,"Gdańsk Wrzeszcz, Bolesława Chrobrego",570000,9500,60.0,3,0,PLN,Gdańsk,Wrzeszcz,"Bolesława Chrobrego, Kolonia Uroda, Wrzeszcz Dolny, Gdańsk, województwo pomorskie, 80-414, Polska",54.3965758,18.6178476
946,"Gdańsk Przeróbka, Bajki",419000,9959,42.07,2,0,PLN,Gdańsk,Przeróbka,"Bajki, Przeróbka, Gdańsk, województwo pomorskie, 80-706, Polska",54.3563053,18.6825147
947,"Gdynia Orłowo, Inżynierska 16",779000,19000,41.0,3,0,PLN,Gdynia,Orłowo,"16, Inżynierska, Orłowo, Gdynia, województwo pomorskie, 81-512, Polska",54.485700050000005,18.538653318618785
948,"Gdańsk Brzeźno, Nadmorski Dwór",2999000,29693,101.0,2,2,PLN,Gdańsk,Brzeźno,"Nadmorski Dwór, Brzeźno, Gdańsk, województwo pomorskie, Polska",54.4069408,18.620666035223575
949,"Gdańsk Letnica, Sucha",570000,14250,40.0,1,0,PLN,Gdańsk,Letnica,"Sucha, Oliwskie Łąki, Letnica, Gdańsk, województwo pomorskie, 80-534, Polska",54.3904967,18.6474929
950,"Gdynia Cisowa, Morska",323000,10971,29.44,1,0,PLN,Gdynia,Cisowa,"Morska, Cisowa, Gdynia, województwo pomorskie, 81-008, Polska",54.5428949,18.4563612
951,"Gdańsk Brzeźno, Dworska",380000,14902,25.5,2,5,PLN,Gdańsk,Brzeźno,"Dworska, Brzeźno, Gdańsk, województwo pomorskie, 80-506, Polska",54.4032149,18.6271865
952,"Gdańsk Letnica, Letnicka",689000,14554,47.34,2,4,PLN,Gdańsk,Letnica,"Letnicka, Kolonia Gwiazda Morza, Letnica, Gdańsk, województwo pomorskie, 80-536, Polska",54.3986679,18.646464
953,"Gdańsk Wrzeszcz, Ostrowskiej Róży",454000,10682,42.5,3,9,PLN,Gdańsk,Wrzeszcz,"Róży Ostrowskiej, Srebrzysko, Wrzeszcz Górny, Gdańsk, województwo pomorskie, 80-260, Polska",54.3780231,18.5825537
954,"Gdańsk Przymorze, Olsztyńska",1169000,17396,67.2,3,2,PLN,Gdańsk,Przymorze,"Olsztyńska, Biały Dwór, Przymorze Wielkie, Gdańsk, województwo pomorskie, 80-395, Polska",54.4059819,18.6039015
955,"Gdynia Witomino, Graniczna 4",589900,12014,49.1,2,6,PLN,Gdynia,Witomino,"4, Graniczna, Witomino-Leśniczówka, Witomino, Gdynia, województwo pomorskie, 81-625, Polska",54.49315535,18.510097047025646
956,"Gdańsk Długie Ogrody, Długie Ogrody",459000,11305,40.6,2,0,PLN,Gdańsk,Długie ogrody,"Długie Ogrody, Knipawa Rudno, Śródmieście, Gdańsk, województwo pomorskie, 80-728, Polska",54.3487555,18.6698573
957,"Gdańsk Wrzeszcz, Antoniego Słonimskiego",1060000,17666,60.0,6,4,PLN,Gdańsk,Wrzeszcz,"Antoniego Słonimskiego, Garnizon, Wrzeszcz Górny, Gdańsk, województwo pomorskie, 80-280, Polska",54.3843027,18.5900734
958,"Sopot Wyścigi / Karlikowo, Bitwy Pod Płowcami",1149000,14544,79.0,3,4,PLN,Sopot,Wyścigi / Karlikowo,"Bitwy pod Płowcami, Karlikowo, Sopot, województwo pomorskie, 81-730, Polska",54.4349367,18.5784558
959,"Gdynia Obłuże, Zielona",449000,7446,60.3,2,4,PLN,Gdynia,Obłuże,"Zielona, Nowe Obłuże, Babie Doły, Gdynia, województwo pomorskie, 81-113, Polska",54.5767177,18.5380934
960,"Gdańsk Stare Przedmieście, Toruńska",700000,22019,31.79,2,0,PLN,Gdańsk,Stare Przedmieście,"Toruńska, Stare Przedmieście, Śródmieście, Gdańsk, województwo pomorskie, 80-819, Polska",54.345155,18.6458535
961,"Gdynia Kamienna Góra, Marsz. Piłsudskiego",899000,16345,55.0,2,4,PLN,Gdynia,Kamienna Góra,"Piłsudskiego, Aleja Marszałka Józefa Piłsudskiego, Kamienna Góra, Gdynia, województwo pomorskie, 81-382, Polska",54.5086709,18.544094705890046
962,"Gdańsk Jasień, Lawendowe Wzgórze",499000,11972,41.68,3,9,PLN,Gdańsk,Jasień,"Lawendowe Wzgórze, Szadółki, Jasień, Gdańsk, województwo pomorskie, 80-175, Polska",54.3272503,18.5595174
963,"Gdynia Cisowa, Owsiana",429000,8079,53.1,4,2,PLN,Gdynia,Cisowa,"Owsiana, Cisowa, Gdynia, województwo pomorskie, 81-089, Polska",54.5472004,18.4416844
964,"Gdynia Grabówek, Morska",459000,7114,64.52,3,1,PLN,Gdynia,Grabówek,"Morska, Grabówek, Gdynia, województwo pomorskie, 81-225, Polska",54.5285411,18.5057323
965,"Gdynia Grabówek, Morska",499000,6713,74.33,4,0,PLN,Gdynia,Grabówek,"Morska, Grabówek, Gdynia, województwo pomorskie, 81-225, Polska",54.5285411,18.5057323
966,"Gdańsk Nowy Port, Strajku Dokerów",615000,6989,88.0,2,1,PLN,Gdańsk,Nowy Port,"Strajku Dokerów, Nowy Port, Gdańsk, województwo pomorskie, 80-544, Polska",54.3995526,18.672489
967,"Gdańsk Oliwa, Opacka",1507539,22738,66.3,5,1,PLN,Gdańsk,Oliwa,"Opacka, Oliwa, Gdańsk, województwo pomorskie, Polska",54.41009455,18.555430845698723
968,Gdynia Oksywie,1062000,11600,91.55,2,6,PLN,Gdynia,Oksywie,"Gdynia/Oksywie, Australijska, Osiedle Gdyńskie, Oksywie, Gdynia, województwo pomorskie, 81-114, Polska",54.5458913,18.5362053
969,"Gdańsk Letnica, Letnicka",595000,19381,30.7,2,1,PLN,Gdańsk,Letnica,"Letnicka, Kolonia Gwiazda Morza, Letnica, Gdańsk, województwo pomorskie, 80-536, Polska",54.3986679,18.646464
970,"Gdańsk Łostowice, Hokejowa",399000,11735,34.0,3,0,PLN,Gdańsk,Łostowice,"Hokejowa, Wielkopolska, Ujeścisko - Łostowice, Gdańsk, województwo pomorskie, 80-480, Polska",54.31051,18.5888248
971,"Gdańsk Ujeścisko, Piotrkowska",639000,9984,64.0,4,2,PLN,Gdańsk,Ujeścisko,"Piotrkowska, Ujeścisko, Ujeścisko - Łostowice, Gdańsk, województwo pomorskie, 80-158, Polska",54.32899,18.5835346
972,"Gdańsk Wrzeszcz, Stanisława Wyspiańskiego",1290000,12256,105.25,2,2,PLN,Gdańsk,Wrzeszcz,"Stanisława Wyspiańskiego, Brunów, Wrzeszcz Dolny, Gdańsk, województwo pomorskie, 80-434, Polska",54.3793801,18.6165043
973,"Gdynia Chylonia , Morska 210",395000,8777,45.0,2,11,PLN,Gdynia,Chylonia,"210, Morska, Osiedle Meksyk, Chylonia, Gdynia, województwo pomorskie, 81-008, Polska",54.5429396,18.458868180664663
974,"Gdynia Obłuże, Krawiecka",265000,6973,38.0,3,2,PLN,Gdynia,Obłuże,"Krawiecka, Obłuże Leśne, Obłuże, Gdynia, województwo pomorskie, 81-178, Polska",54.5493249,18.5186959
975,"Gdańsk Oliwa, Opacka",2234930,23979,93.2,3,2,PLN,Gdańsk,Oliwa,"Opacka, Oliwa, Gdańsk, województwo pomorskie, Polska",54.41009455,18.555430845698723
976,"Gdynia Oksywie, Błękitna",375000,7075,53.0,2,4,PLN,Gdynia,Oksywie,"Błękitna, Kępa Oksywska, Oksywie, Gdynia, województwo pomorskie, 81-111, Polska",54.551472,18.5339227
977,"Gdańsk Siedlce , Kartuska 36",420000,8993,46.7,4,1,PLN,Gdańsk,Siedlce,"36, Kartuska, Kolonia Spójnia, Siedlce, Gdańsk, województwo pomorskie, 80-104, Polska",54.3496872,18.630260219605816
978,"Gdańsk Olszynka, Zawodzie",799999,9163,87.3,3,0,PLN,Gdańsk,Olszynka,"Zawodzie, Kolonia Lewartowskiego, Olszynka, Gdańsk, województwo pomorskie, 80-726, Polska",54.3418762,18.6842718
979,"Gdańsk Morena, Myśliwskie Wzgórze",669000,11820,56.6,1,7,PLN,Gdańsk,Morena,,,
980,"Sopot Górny Sopot, 23 Marca",365000,21471,17.0,1,0,PLN,Sopot,Górny Sopot,,,
981,"Gdańsk Siedlce, Zakopiańska",490000,11913,41.13,2,1,PLN,Gdańsk,Siedlce,"Zakopiańska, Kolonia Spójnia, Siedlce, Gdańsk, województwo pomorskie, 80-139, Polska",54.3502967,18.624454
982,"Gdańsk Wrzeszcz, Kochanowskiego 11/13",459000,9562,48.0,1,1,PLN,Gdańsk,Wrzeszcz,"11/13, Jana Kochanowskiego, Nowe Szkoty, Wrzeszcz Dolny, Gdańsk, województwo pomorskie, 80-402, Polska",54.3772764,18.6264093479874
983,"Gdańsk Ujeścisko, Częstochowska",390000,10540,37.0,3,17,PLN,Gdańsk,Ujeścisko,"Częstochowska, Ujeścisko, Ujeścisko - Łostowice, Gdańsk, województwo pomorskie, 80-158, Polska",54.3295082,18.5795942
984,"Gdańsk Letnica, Sucha",1480000,17411,85.0,1,0,PLN,Gdańsk,Letnica,"Sucha, Oliwskie Łąki, Letnica, Gdańsk, województwo pomorskie, 80-534, Polska",54.3904967,18.6474929
985,"Gdańsk Zaspa, Pilotów",399000,12871,31.0,3,3,PLN,Gdańsk,Zaspa,"Pilotów, Młyniec, Zaspa-Młyniec, Gdańsk, województwo pomorskie, 80-460, Polska",54.394244,18.5874811
986,"Gdańsk Chełm, Prof. Romualda Cebertowicza",529000,8343,63.4,2,1,PLN,Gdańsk,Chełm,"Profesora Romualda Cebertowicza, Chełm G, Chełm, Gdańsk, województwo pomorskie, 80-119, Polska",54.3382684,18.6062619
987,"Gdańsk Śródmieście, Antoniego Madalińskiego",450000,12723,35.37,2,1,PLN,Gdańsk,Śródmieście,,,
988,Gdańsk Oliwa,599000,15763,38.0,3,1,PLN,Gdańsk,Oliwa,"Gdańsk Oliwa, Plac Dworcowy, Oliwa, Gdańsk, województwo pomorskie, 80-320, Polska",54.4098972,18.5718547
989,"Gdańsk Zaspa, Franciszka Hynka",985000,13979,70.46,2,3,PLN,Gdańsk,Zaspa,"Franciszka Hynka, Zaspa-Rozstaje, Gdańsk, województwo pomorskie, 80-369, Polska",54.399434,18.5933451
990,"Gdańsk Kowale, Heliosa",535000,10624,50.36,3,1,PLN,Gdańsk,Kowale,"Heliosa, Osiedle Olimp (Kowale), Kowale, gmina Kolbudy, powiat gdański, województwo pomorskie, 80-180, Polska",54.3080257,18.5689518
991,"Gdańsk Brzeźno, Polskiego Czerwonego Krzyża",585000,11075,52.82,2,4,PLN,Gdańsk,Brzeźno,"Polskiego Czerwonego Krzyża, Brzeźno, Gdańsk, województwo pomorskie, 80-519, Polska",54.4047457,18.6316004
992,"Gdańsk Brzeźno, Dworska",479000,13685,35.0,2,2,PLN,Gdańsk,Brzeźno,"Dworska, Brzeźno, Gdańsk, województwo pomorskie, 80-506, Polska",54.4032149,18.6271865
993,"Gdańsk Zakoniczyn, Kazimierza Porębskiego",585000,10156,57.6,4,3,PLN,Gdańsk,Zakoniczyn,"Kazimierza Porębskiego, Zakoniczyn, Ujeścisko - Łostowice, Gdańsk, województwo pomorskie, 80-180, Polska",54.3189392,18.5833767
994,"Gdynia Dąbrowa, Sojowa",850000,7475,113.7,3,3,PLN,Gdynia,Dąbrowa,"Sojowa, Dąbrówka, Dąbrowa, Gdynia, województwo pomorskie, 81-589, Polska",54.4715348,18.4694115
995,"Gdańsk Zakoniczyn, Konrada Guderskiego",583000,10486,55.6,7,4,PLN,Gdańsk,Zakoniczyn,"Konrada Guderskiego, Zakoniczyn, Ujeścisko - Łostowice, Gdańsk, województwo pomorskie, 80-180, Polska",54.318336,18.5676373
996,"Gdańsk Długie Ogrody, Sienna Grobla",5170800,23910,216.26,4,2,PLN,Gdańsk,Długie ogrody,"GDAŃSK, Bursztynowa Promenada Gwiazd, Ołowianka, Śródmieście, Gdańsk, województwo pomorskie, 80-751, Polska",54.3529391,18.6599081
997,"Gdynia Działki Leśne, Śląska",790000,9182,86.03,5,2,PLN,Gdynia,Działki Leśne,"Śląska, Działki Leśne, Gdynia, województwo pomorskie, 81-317, Polska",54.5180662,18.5307253
998,"Gdynia Orłowo, Kurpiowska",2200000,12359,178.0,4,1,PLN,Gdynia,Orłowo,"Kurpiowska, Orłowo, Gdynia, województwo pomorskie, 81-557, Polska",54.4831798,18.534402
999,"Gdańsk Jelitkowo, Bursztynowa",3500800,32000,109.4,4,4,PLN,Gdańsk,Jelitkowo,"Bursztynowa, Żabianka-Wejhera-Jelitkowo-Tysiąclecia, Gdańsk, województwo pomorskie, Polska",54.42444385,18.590913582271952
1000,"Gdynia Kamienna Góra, Żołnierzy I Armii Wojska Polskiego",2250000,22500,100.0,3,3,PLN,Gdynia,Kamienna Góra,"Żołnierzy I Armii Wojska Polskiego, Kamienna Góra, Gdynia, województwo pomorskie, 81-380, Polska",54.5113078,18.5410134
1001,"Gdańsk Śródmieście, Podwale Przedmiejskie 32",849000,13645,62.22,3,2,PLN,Gdańsk,Śródmieście,"32, Podwale Przedmiejskie, Główne Miasto, Śródmieście, Gdańsk, województwo pomorskie, 80-824, Polska",54.34629045,18.651212177022273
1002,"Gdańsk Osowa, Ariadny",550000,5500,100.0,2,2,PLN,Gdańsk,Osowa,"Ariadny, Wysoka, Osowa, Gdańsk, województwo pomorskie, 81-598, Polska",54.4231057,18.4799435
1003,"Gdańsk Wrzeszcz, Grunwaldzka",489000,9750,50.15,3,2,PLN,Gdańsk,Wrzeszcz,"Grunwaldzka Dzielnica Mieszkaniowa, Wrzeszcz Górny, Gdańsk, województwo pomorskie, Polska",54.3768101,18.61329207601881
1004,"Gdańsk Wrzeszcz, Grunwaldzka",489000,9750,50.15,4,2,PLN,Gdańsk,Wrzeszcz,"Grunwaldzka Dzielnica Mieszkaniowa, Wrzeszcz Górny, Gdańsk, województwo pomorskie, Polska",54.3768101,18.61329207601881
1005,"Gdańsk Wrzeszcz, B. Chrobrego",1690000,19882,85.0,2,5,PLN,Gdańsk,Wrzeszcz,"78B, Bolesława Chrobrego, Kolonia Uroda, Wrzeszcz Dolny, Gdańsk, województwo pomorskie, 80-414, Polska",54.39126965,18.616755693783006
1006,"Gdańsk Śródmieście, Chmielna 73",988000,19000,52.0,2,8,PLN,Gdańsk,Śródmieście,"73, Chmielna, Wyspa Spichrzów, Śródmieście, Gdańsk, województwo pomorskie, 80-748, Polska",54.34302485,18.656064719542094
1007,"Sopot Brodwino, Cieszyńskiego",569000,11854,48.0,2,2,PLN,Sopot,Brodwino,"Władysława Cieszyńskiego, Brodwino, Sopot, województwo pomorskie, 81-881, Polska",54.4561844,18.5374814
1008,"Gdańsk Matarnia - Rębiechowo, Słabego",599000,12621,47.46,4,2,PLN,Gdańsk,,,,
