Lokacja,Cena,Cena za m2,M2,Pokoje,Pietro
"Gdańsk Łostowice, Wielkopolska",429 000 zł,11289 zł/m2,38,2,17
"Gdańsk Letnica, Sucha",1 300 000 zł,15294 zł/m2,85,3,2
"Gdańsk Ujeścisko, Piotrkowska",350 000 zł,11513 zł/m2,30.4,1,3
"Gdańsk Osowa, Marsa",800 000 zł,10739 zł/m2,74.49,4,1
"Gdańsk Siedlce, Kartuska",550 000 zł,12500 zł/m2,44,2,4
"Gdynia Wzgórze Św. Maksymiliana, Legionów",599 000 zł,11092 zł/m2,54,3,2
"Gdańsk Śródmieście, Stara Stocznia",1 830 000 zł,33571 zł/m2,54.51,2,2
"Gdynia Orłowo, Orłowska",1 249 000 zł,17843 zł/m2,70,2,3
"Gdynia Cisowa, Chylońska",365 000 zł,7716 zł/m2,47.3,2,1
"Gdańsk Jasień, Leszczynowa",1 097 000 zł,9848 zł/m2,111.39,5,2
"Gdynia Mały Kack, Strzelców",679 000 zł,14087 zł/m2,48.2,2,2
"Gdynia Działki Leśne, Kwidzyńska",895 000 zł,16886 zł/m2,53,3,16
"Gdańsk Morena, Franciszka Rakoczego",669 000 zł,13917 zł/m2,48.07,2,5
"Gdynia Chylonia, Wiejska",360 000 zł,7826 zł/m2,46,3,parter
Gdynia Wiczlino,569 000 zł,10160 zł/m2,56,3,2
"Sopot Dolny Sopot, Władysława Iv",3 000 000 zł,26127 zł/m2,114.82,4,2
"Gdańsk Wrzeszcz, Słowackiego",499 000 zł,12290 zł/m2,40.6,2,6
"Gdańsk Zaspa, Pilotów",389 000 zł,12589 zł/m2,30.9,1,7
Gdynia Witomino,409 000 zł,11054 zł/m2,37,2,2
"Gdańsk Zakoniczyn, Konrada Guderskiego",575 000 zł,9983 zł/m2,57.6,3,4
"Gdańsk Jasień, Gen. Władysława Andersa",670 000 zł,13114 zł/m2,51.09,2,1
"Gdańsk Letnica, Letnicka",910 000 zł,13485 zł/m2,67.48,3,3
"Gdańsk Orunia, Związkowa",299 000 zł,7806 zł/m2,38.3,2,11
"Gdynia Śródmieście, Mściwoja",990 000 zł,15714 zł/m2,63,4,5
