Lokacja,Cena,Cena za m2,M2,Pokoje,Pietro
"Sopot Dolny Sopot, Kazimierza Wielkiego",950 000 zł,18119 zł/m2,52.43,2,5
"Gdańsk Śródmieście, Ogarna",720 000 zł,20000 zł/m2,36,3,parter
"Gdańsk Brzeźno, Nadmorski Dwór",1 380 000 zł,27600 zł/m2,50,3,1
Gdynia Śródmieście,2 800 000 zł,28791 zł/m2,97.25,3,4
"Gdynia Oksywie, Zielona",509 000 zł,9658 zł/m2,52.7,2,parter
"Gdynia Orłowo, Spacerowa",2 749 000 zł,39065 zł/m2,70.37,3,4
"Gdańsk Jasień, Kazimierza Leskiego",680 000 zł,15111 zł/m2,45,3,4
"Gdańsk Orunia Górna, Krzemowa",429 000 zł,7033 zł/m2,61,4,1
"Gdańsk Ujeścisko, Anny Jagiellonki",769 000 zł,11722 zł/m2,65.6,3,3
"Gdańsk Wrzeszcz, Krzysztofa Kamila Baczyńskiego",569 000 zł,9436 zł/m2,60.3,3,parter
"Gdańsk Przymorze, Prezydenta Lecha Kaczyńskiego",559 000 zł,10351 zł/m2,54,3,3
"Gdynia Karwiny, Fleszarowej-Muskat",677 000 zł,11946 zł/m2,56.67,2,parter
"Gdynia Babie Doły, Ikara",615 000 zł,10424 zł/m2,59,3,parter
"Gdynia Dąbrowa, Kolendrowa",539 500 zł,8276 zł/m2,65.19,3,2
Gdańsk Wrzeszcz,699 000 zł,10754 zł/m2,65,3,1
"Gdańsk Orunia Górna, Kurierów Armii Krajowej",655 000 zł,9357 zł/m2,70,2,11
"Gdańsk Brzeźno, Nadmorski Dwór",2 999 000 zł,28600 zł/m2,104.86,4,2
Gdańsk Nowy Port,375 000 zł,9715 zł/m2,38.6,3,parter
"Gdynia Wzgórze św. Maksymiliana, Dywizji Kościuszkowskiej",1 266 458 zł,15750 zł/m2,80.41,2,3
Gdańsk Przymorze Wielkie,1 738 000 zł,22022 zł/m2,78.92,3,1
Gdańsk Letnica,570 000 zł,14250 zł/m2,40,3,3
"Gdańsk Wrzeszcz, Jana Kilińskiego",690 000 zł,9857 zł/m2,70,5,5
Gdańsk Chełm,529 000 zł,8344 zł/m2,63.4,3,parter
Gdynia Wielki Kack,1 245 000 zł,7595 zł/m2,163.91,2,7
"Gdańsk Brzeźno, Gdańska 21S",1 659 000 zł,20946 zł/m2,79.2,4,1
"Gdańsk Długie Ogrody, Łąkowa",1 165 000 zł,20972 zł/m2,55.55,3,parter
Gdańsk Morena,996 000 zł,12000 zł/m2,83,2,parter
"Gdańsk Osowa, Galaktyczna 20",669 000 zł,11164 zł/m2,59.92,3,4
Gdynia Chylonia,345 000 zł,9151 zł/m2,37.7,1,3
"Gdańsk Morena, Bronisława Czecha",579 000 zł,9492 zł/m2,61,3,4
"Gdańsk Jasień, Kazimierza Leskiego",390 000 zł,12580 zł/m2,31,3,3
"Gdańsk Chełm, Stoczniowców",689 000 zł,10600 zł/m2,65,4,2
"Gdańsk Śródmieście, Angielska Grobla",670 000 zł,13958 zł/m2,48,3,parter
"Gdynia Wiczlino, Św. Faustyny",1 000 000 zł,7785 zł/m2,128.46,3,3
"Gdańsk Przymorze, Chłopska",674 000 zł,12481 zł/m2,54,2,3
"Gdańsk Zaspa, Dywizjonu 303",735 000 zł,10068 zł/m2,73,3,parter
"Gdańsk Siedlce, Zakopiańska",545 000 zł,9644 zł/m2,56.51,3,1
"Gdańsk Kowale, Aresa",548 000 zł,9107 zł/m2,60.17,4,1
"Gdynia Wzgórze św. Maksymiliana, Jana Matejki",700 000 zł,14000 zł/m2,50,3,3
"Gdańsk Wrzeszcz, Aleja Legionów",630 000 zł,8514 zł/m2,74,3,3
"Gdańsk Dolne Miasto, Sadowa",1 329 000 zł,18988 zł/m2,69.99,2,9
"Gdańsk Oliwa, Wita Stwosza",615 000 zł,11431 zł/m2,53.8,2,3
"Gdynia Redłowo, Cylkowskiego",648 000 zł,12000 zł/m2,54,4,3
"Gdynia Karwiny, Buraczana",370 260 zł,10200 zł/m2,36.3,3,2
"Gdańsk Jelitkowo, Wypoczynkowa",4 500 000 zł,39130 zł/m2,115,4,4
"Gdynia Wzgórze św. Maksymiliana, Górskiego Kazimierza",947 200 zł,12800 zł/m2,74,3,4
"Gdańsk Jelitkowo, Wypoczynkowa",4 500 000 zł,39130 zł/m2,115,2,1
"Gdynia Dąbrowa, Rdestowa",480 000 zł,7619 zł/m2,63,2,8
"Gdynia Karwiny, Makuszyńskiego Kornela",449 000 zł,9354 zł/m2,48,2,2
"Gdynia Dąbrowa, Gorczycowa",500 000 zł,8928 zł/m2,56,2,parter
"Gdynia Chylonia, Gniewska",379 999 zł,8444 zł/m2,45,3,2
"Gdynia Grabówek, Morska 123-125",370 000 zł,11212 zł/m2,33,1,1
"Gdynia Chylonia, Gniewska",490 000 zł,8596 zł/m2,57,4,1
"Gdynia Cisowa, Morska",299 999 zł,9999 zł/m2,30,3,1
"Gdynia Chwarzno Wiczlino, Niemena Czesława",1 274 000 zł,13000 zł/m2,98,3,parter
"Gdynia Wiczlino, Filipkowskiego Stanisława",737 000 zł,11000 zł/m2,67,2,4
"Gdańsk Oliwa, Stanisława Witkiewicza",1 290 000 zł,15242 zł/m2,84.63,3,4
"Gdańsk Wrzeszcz, Grunwaldzka",499 000 zł,10603 zł/m2,47.06,2,11
"Gdańsk Łostowice, Niepołomicka",649 000 zł,9686 zł/m2,67,3,3
"Gdańsk Siedlce, Powstańców Warszawskich",664 000 zł,22133 zł/m2,30,2,4
"Gdańsk Śródmieście, Podwale Staromiejskie",745 000 zł,12844 zł/m2,58,4,parter
"Gdańsk Łostowice, Wielkopolska",460 000 zł,12432 zł/m2,37,2,1
"Gdańsk Przymorze, Obrońców Wybrzeża",599 000 zł,9315 zł/m2,64.3,2,5
"Gdynia Śródmieście, Antoniego Abrahama",678 500 zł,11500 zł/m2,59,2,1
Gdańsk Przymorze,485 000 zł,10777 zł/m2,45,3,5
"Gdańsk Żabianka, Orłowska",392 000 zł,11200 zł/m2,35,1,1
"Gdynia Karwiny, Buraczana",1 650 000 zł,13636 zł/m2,121,2,1
"Gdynia Witomino, Niska",399 000 zł,11769 zł/m2,33.9,2,1
"Gdańsk Brzeźno, Dworska 32",468 000 zł,13371 zł/m2,35,2,2
"Gdynia Śródmieście, Wójta Radtkego",499 000 zł,13132 zł/m2,38,3,4
"Gdańsk Łostowice, Ofiar Grudnia 1970 r.",435 000 zł,10875 zł/m2,40,2,4
Gdańsk Orunia Górna,630 000 zł,10862 zł/m2,58,2,3
"Gdańsk Stogi, Wrzosy",411 000 zł,9963 zł/m2,41.25,2,2
"Gdańsk Jasień, Guderskiego",459 555 zł,11208 zł/m2,41,2,1
"Gdańsk Stogi, Wrzosy",389 000 zł,10236 zł/m2,38,2,5
"Gdańsk Przymorze, Lęborska",699 000 zł,16370 zł/m2,42.7,2,8
"Gdańsk Śródmieście, Podwale Staromiejskie",608 000 zł,16004 zł/m2,37.99,2,parter
"Gdynia Mały Kack, Strzelców",615 000 zł,13240 zł/m2,46.45,2,parter
"Gdańsk Oliwa, Obrońców Westerplatte",1 880 000 zł,28923 zł/m2,65,3,1
"Gdańsk Długie Ogrody, Łąkowa",1 165 000 zł,20972 zł/m2,55.55,3,3
"Sopot Górny Sopot, Niepodległości",769 000 zł,16393 zł/m2,46.91,3,3
"Gdynia Mały Kack, Strzelców",940 000 zł,12703 zł/m2,74,2,1
"Gdańsk Orunia Górna, Kurierów Armii Krajowej",655 000 zł,9370 zł/m2,69.9,3,parter
"Gdynia Oksywie, Cypriana Godebskiego",340 000 zł,8457 zł/m2,40.2,1,1
"Gdańsk Chełm, Prof. Romualda Cebertowicza",529 000 zł,8343 zł/m2,63.4,2,1
"Gdańsk Młode Miasto, Wałowa",595 000 zł,20053 zł/m2,29.67,6,6
"Gdańsk Ujeścisko, Płocka",499 000 zł,9784 zł/m2,51,2,parter
"Gdańsk Brzeźno, Gdańska",1 999 000 zł,15865 zł/m2,126,4,4
"Gdańsk Stare Przedmieście, Lastadia",920 000 zł,16140 zł/m2,57,2,2
"Gdańsk Zaspa, Startowa",1 099 000 zł,12929 zł/m2,85,2,parter
"Gdańsk VII Dwór, Abrahama",599 000 zł,14261 zł/m2,42,3,9
"Sopot Dolny Sopot, Kilińskiego",1 242 000 zł,27000 zł/m2,46,2,parter
"Gdańsk Zaspa, Kombatantów",575 000 zł,9127 zł/m2,63,3,2
"Gdynia Chwarzno Wiczlino, Niemena Czesława",625 000 zł,12500 zł/m2,50,3,3
"Gdańsk Chełm, Hebanowskiego",669 000 zł,10790 zł/m2,62,4,parter
"Gdańsk Przymorze Wielkie, Aleja Rzeczypospolitej 1D",450 000 zł,11842 zł/m2,38,5,2
"Gdańsk Orunia Górna, Świętokrzyska",899 000 zł,10576 zł/m2,85,3,1
"Gdańsk Aniołki, Zwycięstwa",650 000 zł,9643 zł/m2,67.4,3,1
"Gdańsk Oliwa, Czyżewskiego",565 000 zł,10462 zł/m2,54,2,2
"Gdańsk Sobieszewo, Łąkowa",3 281 640 zł,39820 zł/m2,82.41,3,parter
"Gdynia Mały Kack, Strzelców",679 000 zł,14087 zł/m2,48.2,3,parter
"Gdańsk Przymorze, Piastowska",1 320 000 zł,14261 zł/m2,92.56,2,2
"Gdańsk Brzeźno, Gdańska",1 290 000 zł,16358 zł/m2,78.86,3,1
"Gdynia Redłowo, Legionów",640 000 zł,18286 zł/m2,35,3,1
"Gdańsk Przymorze, Piastowska",945 000 zł,14929 zł/m2,63.3,2,8
"Gdańsk Śródmieście, Śluza",729 000 zł,14435 zł/m2,50.5,2,1
"Gdynia Śródmieście, Abrahama Antoniego",650 000 zł,13000 zł/m2,50,3,2
"Gdańsk Zaspa, Kombatantów",480 000 zł,12000 zł/m2,40,2,2
"Gdańsk Ujeścisko, Częstochowska",620 000 zł,10163 zł/m2,61,1,2
"Gdańsk Przymorze, Rzeczypospolitej",829 000 zł,18422 zł/m2,45,3,4
"Gdynia Chylonia, Morska",295 000 zł,9833 zł/m2,30,2,1
"Gdańsk Siedlce, Skarpowa",749 000 zł,10190 zł/m2,73.5,2,1
"Gdańsk Zakoniczyn, Porębskiego 31",520 000 zł,11304 zł/m2,46,2,parter
"Gdańsk, Klonowa",625 000 zł,10964 zł/m2,57,2,3
"Gdańsk Chełm, Biegańskiego",438 000 zł,8830 zł/m2,49.6,3,3
"Gdańsk Zakoniczyn, Guderskiego",590 000 zł,10535 zł/m2,56,2,2
"Gdynia Orłowo, Bernadowska","1 446 889,19 zł",21060 zł/m2,68.7,2,2
"Gdańsk Przymorze, Kołobrzeska",536 000 zł,11911 zł/m2,45,3,2
"Gdańsk Brzeźno, Gdańska","961 877,55 zł",15978 zł/m2,60.2,3,2
"Gdańsk Brzeźno, Gdańska","1 028 910,34 zł",15288 zł/m2,67.3,3,parter
"Gdańsk Brzeźno, Gdańska","1 107 012,27 zł",16449 zł/m2,67.3,3,3
"Gdynia Oksywie, Nasypowa",549 000 zł,10897 zł/m2,50.38,3,1
"Gdańsk Brzeźno, Gdańska","867 652,37 zł",18039 zł/m2,48.1,2,2
"Gdynia Chylonia, Rozewska 9",920 000 zł,12979 zł/m2,70.88,3,10
"Gdańsk Brzeźno, Nadmorski Dwór",1 280 000 zł,28887 zł/m2,44.31,5,parter
"Gdynia Śródmieście, Obrońców Wybrzeża",760 000 zł,12666 zł/m2,60,3,4
"Gdańsk Oliwa, Obrońców Westerplatte",1 599 999 zł,17126 zł/m2,93.42,2,parter
"Gdańsk Śródmieście, Szuwary",499 000 zł,12994 zł/m2,38.4,2,1
"Gdańsk Żabianka, Pomorska",499 000 zł,13450 zł/m2,37.1,2,4
Gdynia Wielki Kack,459 000 zł,10928 zł/m2,42,3,1
"Gdańsk Zbigniewa Burzyńskiego, 12",660 000 zł,13692 zł/m2,48.2,2,parter
"Gdańsk Orunia, Szafirowa",415 000 zł,7685 zł/m2,54,4,1
"Gdańsk Śródmieście, Katarzynki 9",590 000 zł,12266 zł/m2,48.1,2,4
"Gdańsk Morena, Dobrowolskiego",629 000 zł,8500 zł/m2,74,2,8
"Gdynia Orłowo, Bernadowska 2",1 390 000 zł,27524 zł/m2,50.5,2,1
"Gdynia Wzgórze św. Maksymiliana, Gen. Jarosława Dąbrowskiego",479 000 zł,9038 zł/m2,53,2,1
"Gdynia Orłowo, Bernadowska 2",1 390 000 zł,27524 zł/m2,50.5,3,2
"Sopot Kamienny Potok, Henryka Sienkiewicza",619 000 zł,16289 zł/m2,38,3,4
"Gdańsk Morena, Magellana",719 000 zł,12934 zł/m2,55.59,3,parter
"Gdynia Mały Kack, Strzelców",899 000 zł,12935 zł/m2,69.5,3,parter
"Gdańsk Żabianka, Pomorska",669 000 zł,10635 zł/m2,62.9,3,parter
"Gdańsk Osowa, Nike",536 000 zł,9155 zł/m2,58.55,4,3
"Gdańsk Chełm, Antoniego Suchanka",1 199 000 zł,17376 zł/m2,69,4,1
Gdynia Witomino,599 000 zł,9983 zł/m2,60,3,parter
"Gdańsk Chełm, Pastelowa",122 304 zł,1600 zł/m2,76.4,4,2
"Gdańsk Osowa, Galaktyczna",650 000 zł,11224 zł/m2,57.91,3,2
"Gdynia Działki Leśne, Śląska",850 000 zł,8500 zł/m2,100,3,parter
"Sopot Dolny Sopot, Grunwaldzka",1 400 000 zł,14642 zł/m2,95.61,2,parter
"Gdańsk Długie Ogrody, Jana Dziewanowskiego",1 190 000 zł,14311 zł/m2,83.15,4,4
"Gdynia Leszczynki, Ramułta Stefana",340 000 zł,7467 zł/m2,45.53,2,1
Gdynia Oksywie,490 000 zł,5811 zł/m2,84.32,3,2
"Gdańsk VII Dwór, Aleksandra Gryglewskiego",389 000 zł,11308 zł/m2,34.4,2,2
"Gdynia Karwiny, Stanisławy fleszarowej muskat",820 990 zł,11898 zł/m2,69,2,4
Gdańsk Zaspa,480 000 zł,9959 zł/m2,48.2,2,1
"Gdynia Wielki Kack, Witosławy",415 000 zł,9522 zł/m2,43.58,2,3
"Gdańsk Wrzeszcz, Słonimskiego Antoniego",1 370 000 zł,21480 zł/m2,63.78,4,7
"Gdynia Chylonia, Helska",329 999 zł,8895 zł/m2,37.1,2,2
"Gdańsk Jasień, Pólnicy",799 000 zł,7833 zł/m2,102,2,7
"Gdańsk Morena, Myśliwskie Wzgórze",569 000 zł,11380 zł/m2,50,3,4
"Gdańsk Łostowice, Hokejowa",349 000 zł,11633 zł/m2,30,4,parter
"Gdynia Babie Doły, Zielona",390 000 zł,7358 zł/m2,53,3,1
"Gdańsk Orunia, Sandomierska",699 000 zł,8524 zł/m2,82,3,2
"Gdańsk Morena, Stanisława Lema",739 000 zł,13382 zł/m2,55.22,2,8
"Gdynia Grabówek, Dembińskiego",1 099 000 zł,14126 zł/m2,77.8,3,4
"Gdańsk Brzeźno, Nadmorski Dwór",1 280 000 zł,28887 zł/m2,44.31,2,parter
"Gdynia Cisowa, Chylońska 241",649 000 zł,11825 zł/m2,54.88,3,7
"Gdańsk Stogi, Hoża",399 000 zł,9500 zł/m2,42,4,parter
"Gdańsk Morena, Magellana",719 000 zł,12934 zł/m2,55.59,3,parter
"Gdańsk Wrzeszcz, Krzysztofa Kamila Baczyńskiego",569 000 zł,9436 zł/m2,60.3,4,2
"Gdańsk Orunia Górna, Kurierów Armii Krajowej",655 000 zł,9370 zł/m2,69.9,3,4
"Gdańsk Morena, Magellana Ferdynanda",885 800 zł,13573 zł/m2,65.26,1,2
"Gdańsk Karczemki, Różany Stok",498 999 zł,7583 zł/m2,65.8,3,parter
"Gdańsk Stogi, Tamka",295 000 zł,11876 zł/m2,24.84,2,1
"Gdynia Wielki Kack, Myśliwska",659 000 zł,9237 zł/m2,71.34,3,3
"Gdynia Cisowa, Morska",470 000 zł,8392 zł/m2,56,2,4
"Gdynia Grabówek, Okoniewskiego",630 000 zł,10327 zł/m2,61,2,parter
"Gdańsk Orunia Górna, Gen. Kazimierza Sosnkowskiego",570 000 zł,10307 zł/m2,55.3,4,parter
"Gdynia Działki Leśne, Szczecińska",479 000 zł,11936 zł/m2,40.13,2,6
"Gdańsk Przymorze, Prezydenta Lecha Kaczyńskiego",1 150 000 zł,13585 zł/m2,84.65,1,1
"Gdańsk Kiełpinek, Przytulna",590 000 zł,13096 zł/m2,45.05,5,1
"Gdynia Śródmieście, Obrońców Wybrzeża",510 000 zł,13783 zł/m2,37,3,parter
"Sopot Dolny Sopot, Fryderyka Chopina",3 150 000 zł,22500 zł/m2,140,4,1
Gdańsk Kiełpinek,620 000 zł,9158 zł/m2,67.7,3,1
"Gdynia Oksywie, Bosmańska",1 039 900 zł,11303 zł/m2,92,2,8
"Gdynia Działki Leśne, Pomorska",679 000 zł,7388 zł/m2,91.9,2,9
"Gdańsk Długie Ogrody, Św. Barbary",1 145 800 zł,16850 zł/m2,68,3,1
Gdańsk Orunia,380 000 zł,8899 zł/m2,42.7,2,parter
"Gdańsk Śródmieście, Stara Stocznia",2 300 000 zł,17557 zł/m2,131,3,1
"Gdańsk Wrzeszcz, Juliusza Słowackiego",849 000 zł,15578 zł/m2,54.5,4,parter
"Sopot Górny Sopot, 23 Marca",590 000 zł,12995 zł/m2,45.4,3,3
"Gdańsk Suchanino, Zygmunta Noskowskiego",570 000 zł,8967 zł/m2,63.56,2,3
"Gdańsk Dolne Miasto, Stefanii Sempołowskiej",890 000 zł,12806 zł/m2,69.5,5,3
"Gdynia Śródmieście, Antoniego Abrahama",545 000 zł,13974 zł/m2,39,2,3
Gdynia Redłowo,1 690 000 zł,20047 zł/m2,84.3,3,3
"Gdynia Śródmieście, Bema Józefa",545 000 zł,11595 zł/m2,47,2,2
"Gdańsk Chełm, Marcina Dragana",590 000 zł,9562 zł/m2,61.7,3,3
"Gdynia Mały Kack, Leśna",825 000 zł,16816 zł/m2,49.06,4,3
Gdańsk Zakoniczyn,599 000 zł,9983 zł/m2,60,2,parter
"Gdańsk Chełm, Reformacka",739 000 zł,6780 zł/m2,108.99,2,5
"Gdańsk Strzyża, Glinki Michała",599 000 zł,12076 zł/m2,49.6,2,7
"Gdynia Śródmieście, Antoniego Abrahama",430 000 zł,11621 zł/m2,37,2,3
"Gdynia Redłowo, Legionów",909 000 zł,14902 zł/m2,61,3,3
"Gdańsk Przymorze, Obrońców Wybrzeża",460 000 zł,10222 zł/m2,45,2,2
"Gdynia Śródmieście, Władysława Iv",939 000 zł,17954 zł/m2,52.3,3,2
"Gdańsk Przymorze, Obrońców Wybrzeża",489 000 zł,10630 zł/m2,46,3,parter
"Gdańsk Jasień, Gen. Władysława Andersa",999 000 zł,15109 zł/m2,66.12,1,4
"Gdańsk Ujeścisko, Przemyska",659 000 zł,10629 zł/m2,62,4,6
"Gdańsk Żabianka, Gospody",419 000 zł,16115 zł/m2,26,3,2
"Gdynia Oksywie, Nasypowa",645 000 zł,10903 zł/m2,59.16,2,parter
"Gdynia Grabówek, Kapitańska",699 000 zł,12944 zł/m2,54,2,4
"Gdańsk Stare Przedmieście, Jaglana",879 000 zł,19977 zł/m2,44,2,parter
"Gdańsk Stare Przedmieście, Jaglana",720 000 zł,20339 zł/m2,35.4,6,parter
"Gdynia Chwarzno, Franciszka Sokoła",529 000 zł,9618 zł/m2,55,2,parter
"Gdańsk Brzeźno, Gdańska",1 999 000 zł,15865 zł/m2,126,2,2
Gdynia Śródmieście,840 000 zł,10244 zł/m2,82,6,8
"Gdańsk Ujeścisko, Łańcucka",528 000 zł,12060 zł/m2,43.78,5,3
"Gdańsk Jelitkowo, Jelitkowska",5 800 000 zł,22053 zł/m2,263,3,5
Gdynia Redłowo,1 690 000 zł,20047 zł/m2,84.3,2,12
"Gdańsk Morena, Czesława Miłosza",999 000 zł,13284 zł/m2,75.2,2,parter
"Gdańsk Wrzeszcz, Juliusza Słowackiego",849 000 zł,15664 zł/m2,54.2,2,2
"Gdańsk Zakoniczyn, Kazimierza Porębskiego",460 000 zł,9745 zł/m2,47.2,3,5
"Gdynia Mały Kack, Lotników",650 000 zł,14773 zł/m2,44,3,4
Gdynia Wzgórze św. Maksymiliana,979 000 zł,12797 zł/m2,76.5,2,4
"Gdynia Karwiny, Janiny Porazińskiej",1 249 000 zł,15037 zł/m2,83.06,3,3
"Gdańsk Wrzeszcz, Joachima Lelewela",1 044 000 zł,24982 zł/m2,41.79,2,parter
"Gdynia Chylonia, Rozewska",380 000 zł,8190 zł/m2,46.4,2,parter
"Gdynia Chylonia, Wejherowska",350 000 zł,7848 zł/m2,44.6,3,parter
"Gdańsk Zaspa, Startowa",577 000 zł,11971 zł/m2,48.2,3,3
"Gdynia Śródmieście, 10 Lutego",1 675 330 zł,24990 zł/m2,67.04,1,parter
Gdańsk Ujeścisko,479 000 zł,8709 zł/m2,55,5,parter
"Gdańsk Matarnia - Rębiechowo, Złota Karczma",339 000 zł,10366 zł/m2,32.7,4,2
"Gdynia Wielki Kack, Starodworcowa",995 000 zł,10574 zł/m2,94.09,2,1
"Gdańsk Kowale, Heliosa",1 034 500 zł,8995 zł/m2,115,2,3
"Gdynia Wzgórze św. Maksymiliana, Gen. Jarosława Dąbrowskiego",479 000 zł,9094 zł/m2,52.67,2,parter
"Gdynia Mały Kack, Strzelców",649 000 zł,13381 zł/m2,48.5,3,1
"Gdańsk Wrzeszcz, Sochaczewska",465 000 zł,10520 zł/m2,44.2,3,2
"Gdańsk Zaspa, Chrobrego",1 395 000 zł,20424 zł/m2,68.3,2,4
"Gdańsk Łostowice, Wielkopolska",549 000 zł,9990 zł/m2,54.95,3,parter
"Gdańsk Oliwa, Tatrzańska",349 000 zł,7465 zł/m2,46.75,1,3
"Gdańsk Nowy Port, Oliwska 43",427 777 zł,8875 zł/m2,48.2,1,1
"Gdańsk Śródmieście, Ogarna",750 000 zł,19230 zł/m2,39,3,4
Gdynia Działki Leśne,329 000 zł,12396 zł/m2,26.54,3,2
"Gdynia Chylonia, Morska",510 000 zł,8500 zł/m2,60,3,8
"Gdynia Leszczynki, Orlicz Dreszera",528 000 zł,9962 zł/m2,53,3,1
"Gdańsk Morena, Bulońska",679 000 zł,9176 zł/m2,74,3,3
"Gdynia Wzgórze św. Maksymiliana, Wyspiańskiego 23",750 000 zł,15957 zł/m2,47,1,3
"Gdańsk Śródmieście, Św. Ducha",949 000 zł,14292 zł/m2,66.4,3,5
"Gdańsk Oliwa, Pawła Gdańca",399 000 zł,13300 zł/m2,30,2,4
"Gdańsk Jasień, Stolema",749 900 zł,10947 zł/m2,68.5,1,2
"Gdańsk Ujeścisko, Cedrowa",510 000 zł,11590 zł/m2,44,3,2
"Gdańsk Stare Przedmieście, Jaglana",442 000 zł,17000 zł/m2,26,3,2
"Gdańsk Wrzeszcz, Jesionowa",665 000 zł,9779 zł/m2,68,3,6
"Gdynia Leszczynki, Morska",499 000 zł,9596 zł/m2,52,3,3
"Gdynia Chwarzno, Franciszka Sokoła",830 000 zł,8350 zł/m2,99.4,2,3
"Gdynia Chwarzno-wiczlino, Niemena",965 000 zł,11996 zł/m2,80.44,4,5
"Gdańsk Śródmieście, Igielnicka",670 000 zł,13012 zł/m2,51.49,3,1
"Gdańsk Zaspa, Stefana Drzewieckiego",749 000 zł,10443 zł/m2,71.72,3,3
"Gdańsk Zakoniczyn, Kazimierza Porębskiego",539 000 zł,8045 zł/m2,67,1,parter
"Gdańsk Zakoniczyn, Konrada Guderskiego",580 000 zł,10977 zł/m2,52.84,5,1
"Gdańsk Siedlce, Powstańców Warszawskich",435 000 zł,14169 zł/m2,30.7,2,3
"Gdańsk Orunia Górna, Gen. Augusta Emila Fieldorfa",1 100 000 zł,11579 zł/m2,95,3,3
"Gdańsk Siedlce, Zakopiańska",599 000 zł,10509 zł/m2,57,2,parter
"Gdańsk Jasień, Lawendowe Wzgórze",680 000 zł,11930 zł/m2,57,3,2
"Gdynia Wzgórze św. Maksymiliana, Artura Grottgera",370 000 zł,11012 zł/m2,33.6,3,6
"Gdańsk Wrzeszcz, Lilli Wenedy",899 000 zł,12843 zł/m2,70,3,1
"Gdańsk Strzyża, Fryderyka Chopina",519 000 zł,13658 zł/m2,38,2,13
"Gdańsk Długie Ogrody, Św. Barbary",1 199 940 zł,19999 zł/m2,60,1,4
"Gdańsk Ujeścisko, Rogalińska",520 000 zł,11064 zł/m2,47,3,parter
"Gdańsk Chełm, Wincentego Witosa",359 000 zł,10257 zł/m2,35,3,parter
"Gdynia Babie Doły, Ikara",790 000 zł,13167 zł/m2,60,3,1
"Gdańsk Morena, Piecewska",883 200 zł,13800 zł/m2,64,3,4
"Gdańsk Chełm, Prof. Józefa Więckowskiego",630 000 zł,10500 zł/m2,60,3,5
"Gdańsk Wrzeszcz, Bolesława Chrobrego",1 460 000 zł,20857 zł/m2,70,2,4
"Gdańsk Stogi, Hoża",426 000 zł,12171 zł/m2,35,1,parter
"Gdańsk Stare Przedmieście, Chmielna",913 500 zł,21000 zł/m2,43.5,3,1
Gdańsk Przymorze,305 000 zł,16053 zł/m2,19,2,parter
Gdynia Chylonia,380 000 zł,8190 zł/m2,46.4,2,4
Gdynia Chylonia,369 000 zł,9283 zł/m2,39.75,1,parter
"Gdynia Działki Leśne, Olsztyńska",380 000 zł,6032 zł/m2,63,3,4
"Gdynia Grabówek, Komandorska",300 000 zł,8823 zł/m2,34,4,parter
"Sopot Kamienny Potok, Niepodległości",912 000 zł,13412 zł/m2,68,3,10
"Gdynia Redłowo, Legionów",1 260 000 zł,14894 zł/m2,84.6,1,2
"Gdańsk Zakoniczyn, Konrada Guderskiego",579 000 zł,10321 zł/m2,56.1,3,2
"Gdynia Śródmieście, Antoniego Abrahama",465 000 zł,13040 zł/m2,35.66,3,4
"Gdynia Obłuże, Kpt. Antoniego Ledóchowskiego",490 000 zł,8072 zł/m2,60.7,3,7
"Gdańsk Przymorze, Obrońców Wybrzeża",1 157 000 zł,20017 zł/m2,57.8,1,5
"Gdańsk Jasień, Leszczynowa",760 000 zł,11279 zł/m2,67.38,2,parter
Gdynia Działki Leśne,350 000 zł,12238 zł/m2,28.6,1,5
"Gdańsk Śródmieście, Chmielna",1 600 000 zł,24961 zł/m2,64.1,3,parter
"Gdańsk Zaspa, Dywizjonu 303",390 000 zł,11239 zł/m2,34.7,2,5
Gdynia Chylonia,379 000 zł,8168 zł/m2,46.4,3,5
"Gdańsk Letnica, Letnicka",518 570 zł,11064 zł/m2,46.87,2,3
Gdańsk Siedlce,649 000 zł,9953 zł/m2,65.2,2,2
"Gdańsk Brzeźno, Emilii Plater",810 000 zł,15000 zł/m2,54,1,3
Gdańsk Wrzeszcz,885 000 zł,22125 zł/m2,40,4,parter
"Gdańsk Śródmieście, Chmielna",679 000 zł,19444 zł/m2,34.92,4,parter
"Gdynia Śródmieście, Antoniego Abrahama",954 000 zł,13250 zł/m2,72,3,1
"Gdańsk Siedlce, Tarasy",699 000 zł,8948 zł/m2,78.11,2,parter
"Gdańsk Zakoniczyn, Konrada Guderskiego",580 000 zł,11153 zł/m2,52,2,3
"Gdynia Karwiny, Janiny Porazińskiej",695 000 zł,14734 zł/m2,47.17,3,1
"Gdańsk Osowa, Nike 21",489 000 zł,9205 zł/m2,53.12,3,parter
"Gdańsk Św. Wojciech, Kazimierza Wielkiego",499 000 zł,9980 zł/m2,50,4,1
"Gdynia Mały Kack, Podleśna",778 000 zł,12754 zł/m2,61,3,1
"Gdańsk Ujeścisko, Wawelska",630 000 zł,8630 zł/m2,73,3,3
"Gdańsk Śródmieście, Garncarska",699 000 zł,12594 zł/m2,55.5,3,3
"Gdańsk Kowale, Heliosa",450 000 zł,7895 zł/m2,57,3,1
"Gdynia Mały Kack, Wzgórze Bernadowo",1 285 000 zł,13817 zł/m2,93,3,parter
Gdańsk Łostowice,450 000 zł,8353 zł/m2,53.87,4,parter
